,keys,values
9201,grant,0.9903846153846154
4703,mosque,0.9885057471264368
1792,migrants,0.9868421052631579
5460,debris,0.9864864864864865
9229,derailment,0.9850746268656716
8506,migrant,0.9782608695652174
317,trench,0.9782608695652174
3389,bomber,0.9772727272727273
6286,grants,0.9767441860465116
264,crisis,0.9761904761904762
2841,outbreak,0.9736842105263158
8387,detonated,0.967741935483871
5862,crematoria,0.9666666666666667
6405,typhoon,0.9659090909090909
8441,wreckage,0.9607843137254902
1877,spill,0.9594594594594594
6060,projected,0.9583333333333334
9440,searching,0.9583333333333334
9252,costlier,0.9545454545454546
1127,affected,0.9545454545454546
2374,feared,0.9523809523809523
4993,crews,0.9523809523809523
483,jab,0.95
7726,declaration,0.9473684210526315
8222,killed,0.946236559139785
2989,bombing,0.9448818897637795
978,stein,0.9444444444444444
8223,picking,0.9444444444444444
463,region,0.9444444444444444
1262,reds,0.9428571428571428
6682,passenger,0.9411764705882353
7972,outrage,0.9411764705882353
136,hundreds,0.94
42,suicide,0.9395604395604396
3004,bola,0.9375
7495,global,0.9375
3710,acres,0.9375
9823,rants,0.9347826086956522
7649,provoke,0.9333333333333333
2246,marks,0.9333333333333333
1646,pill,0.9310344827586207
5410,families,0.9310344827586207
4409,anniversary,0.9310344827586207
8453,recount,0.9285714285714286
2384,nine,0.9285714285714286
9287,threaten,0.9285714285714286
8589,coaches,0.9285714285714286
2569,theater,0.9285714285714286
8154,issued,0.9285714285714286
2941,boat,0.9285714285714286
468,roadway,0.9285714285714286
9870,wildfire,0.927710843373494
8628,homes,0.926829268292683
4137,eared,0.9259259259259259
2404,helicopter,0.9230769230769231
6329,manslaughter,0.9230769230769231
7339,wrought,0.9230769230769231
7505,passengers,0.9230769230769231
4719,crane,0.9230769230769231
6268,bigger,0.92
5640,forces,0.9166666666666666
1351,plunging,0.9166666666666666
3657,slim,0.9166666666666666
2112,alert,0.9166666666666666
4942,lens,0.9166666666666666
163,caw,0.9166666666666666
4775,slaughter,0.9166666666666666
2654,carrying,0.9090909090909091
9565,militant,0.9090909090909091
2237,cyclist,0.9090909090909091
1212,amid,0.9090909090909091
9382,project,0.9090909090909091
1263,cranes,0.9090909090909091
4165,village,0.9090909090909091
826,severe,0.9
7783,genocide,0.9
847,captures,0.9
9097,rescuers,0.9
5781,examining,0.9
4609,labs,0.9
413,spaceship,0.9
6798,areas,0.9
6740,borough,0.9
5820,eaten,0.8947368421052632
9158,warning,0.8947368421052632
5632,signs,0.8888888888888888
1847,slims,0.8888888888888888
7631,bicyclist,0.8888888888888888
1637,civilian,0.8888888888888888
5281,approach,0.8888888888888888
9357,suspect,0.8888888888888888
8569,cases,0.8888888888888888
7731,wildfires,0.8888888888888888
1452,pilot,0.8846153846153846
8763,lays,0.8831168831168831
8731,atom,0.8823529411764706
5723,horror,0.88
6321,calamity,0.875
1398,confirms,0.875
5711,insurer,0.875
2013,union,0.875
2864,discovery,0.875
7555,affect,0.875
4317,afternoon,0.875
769,lies,0.8725490196078431
12,allowed,0.8709677419354839
1431,atomic,0.8709677419354839
7472,wild,0.8691275167785235
3809,lung,0.8666666666666667
1101,psi,0.8666666666666667
2096,kill,0.8648255813953488
4075,millions,0.8636363636363636
781,lines,0.8594594594594595
3594,kills,0.859375
7435,kidnap,0.8571428571428571
2364,capsizes,0.8571428571428571
9600,militants,0.8571428571428571
6757,swallows,0.8571428571428571
215,million,0.8571428571428571
6784,factor,0.8571428571428571
6013,threatening,0.8571428571428571
1125,budget,0.8571428571428571
1074,lifted,0.8571428571428571
6020,civilians,0.8571428571428571
3758,opens,0.8571428571428571
9246,runway,0.8571428571428571
2040,estimate,0.8571428571428571
9291,hundred,0.8571428571428571
187,relatives,0.8571428571428571
7050,satellite,0.8571428571428571
5743,microlight,0.8571428571428571
5238,memories,0.855072463768116
6627,deb,0.8548387096774194
1539,wall,0.8541666666666666
4595,evacuated,0.8529411764705882
4668,arks,0.8518518518518519
6655,crew,0.8518518518518519
9986,caused,0.8484848484848485
2885,trains,0.8461538461538461
4088,incident,0.8461538461538461
906,freak,0.8421052631578947
1122,reported,0.8421052631578947
4505,victim,0.84
3160,missing,0.8378378378378378
7507,fires,0.8342105263157895
4569,bob,0.8333333333333334
9641,sued,0.8333333333333334
976,sang,0.8333333333333334
2149,mike,0.8333333333333334
8429,conditions,0.8333333333333334
1690,scene,0.8333333333333334
6274,threatens,0.8333333333333334
7926,troops,0.8333333333333334
3882,kidnapped,0.8333333333333334
6532,destroys,0.8333333333333334
7765,incredible,0.8333333333333334
3338,individual,0.8333333333333334
7179,exec,0.8333333333333334
7470,focus,0.8333333333333334
6352,aircraft,0.8333333333333334
5307,lii,0.8333333333333334
1683,heed,0.8333333333333334
4114,yuk,0.8333333333333334
1666,washing,0.8333333333333334
6635,landing,0.8333333333333334
6049,toll,0.8333333333333334
4473,sow,0.8333333333333334
2906,lions,0.8333333333333334
943,distance,0.8333333333333334
1784,bodies,0.8333333333333334
2183,terrorists,0.8333333333333334
7403,panes,0.8333333333333334
7289,mater,0.8333333333333334
1307,intensity,0.8333333333333334
1361,airplane,0.8333333333333334
8283,capture,0.8333333333333334
148,jib,0.8333333333333334
6599,fighters,0.8333333333333334
6852,hag,0.8333333333333334
162,motorcycle,0.8333333333333334
7624,icily,0.8333333333333334
9088,parts,0.8333333333333334
3296,harbor,0.8333333333333334
2351,chaos,0.8333333333333334
1121,villa,0.8333333333333334
8122,officials,0.8333333333333334
1057,rocks,0.8333333333333334
7620,giant,0.8333333333333334
7604,trigger,0.8333333333333334
5513,lanes,0.8333333333333334
2329,area,0.8333333333333334
5693,allow,0.8301886792452831
1052,issue,0.8297872340425532
1336,bin,0.8245149911816578
1244,quake,0.8243727598566308
3953,reports,0.8235294117647058
9350,lane,0.8229166666666666
6282,earthquake,0.8208955223880597
2447,capsize,0.8181818181818182
7740,modified,0.8181818181818182
4145,visit,0.8181818181818182
4011,tram,0.8181818181818182
2258,caps,0.8181818181818182
4331,mining,0.8181818181818182
3103,razed,0.8181818181818182
5724,lag,0.8171641791044776
3515,report,0.8153846153846154
4773,investigating,0.8125
5441,western,0.8125
563,aware,0.8076923076923077
1457,sue,0.8068181818181818
6828,train,0.8064516129032258
1404,drought,0.8035714285714286
3033,raze,0.8035714285714286
2118,bridge,0.8026315789473685
2272,bomb,0.800575263662512
7106,approaches,0.8
8168,sharp,0.8
3353,numbers,0.8
6551,saved,0.8
9186,flight,0.8
8982,residents,0.8
6371,refuse,0.8
3220,cost,0.8
5084,pulls,0.8
7029,degrees,0.8
5794,moves,0.8
3064,grows,0.8
4404,glade,0.8
8938,murdered,0.8
3720,repatriated,0.8
5427,unlocked,0.8
5485,gunman,0.8
6521,warnings,0.8
9017,closes,0.8
8252,braking,0.8
5489,triggered,0.8
1151,users,0.8
5821,drawn,0.8
5136,electric,0.8
2355,firms,0.8
5182,caster,0.8
3235,location,0.8
3629,armed,0.8
6407,elevated,0.8
4383,official,0.7976190476190477
1031,plane,0.7961165048543689
9745,charged,0.7916666666666666
5471,linked,0.7916666666666666
7185,ashes,0.7916666666666666
177,north,0.7894736842105263
8861,tors,0.7894736842105263
9223,size,0.7894736842105263
117,coach,0.7894736842105263
5096,continue,0.7894736842105263
5558,warn,0.7888888888888889
6969,terrorist,0.7878787878787878
4295,casualties,0.7868852459016393
313,vest,0.7866666666666666
3275,disease,0.7857142857142857
466,island,0.7857142857142857
7752,storms,0.7857142857142857
4823,shooting,0.7857142857142857
235,changing,0.7857142857142857
6009,search,0.7843137254901961
1902,evacuation,0.7808219178082192
3344,hailstorm,0.78
5245,discover,0.7777777777777778
7145,soldiers,0.7777777777777778
4509,issues,0.7777777777777778
6052,central,0.7777777777777778
1383,soldier,0.7777777777777778
7397,carry,0.775
3258,forest,0.7746913580246914
7754,claims,0.7692307692307693
7597,crime,0.7692307692307693
5466,ported,0.7692307692307693
5163,cycle,0.7692307692307693
