,keys,values
7047,httptcofdjuyvzmrv,"[('åèmgnafricaå¨', 1), ('wizkidayocollapse', 1), ('åè', 1), ('collapse', 1), ('tent', 1), ('pinf', 1), ('correction', 1), ('story', 1)]"
7048,wizkidayocollapse,"[('åèmgnafricaå¨', 1), ('httptcofdjuyvzmrv', 1), ('åè', 1), ('collapse', 1), ('tent', 1), ('pinf', 1), ('correction', 1), ('story', 1)]"
7050,pinf,"[('åèmgnafricaå¨', 1), ('httptcofdjuyvzmrv', 1), ('wizkidayocollapse', 1), ('åè', 1), ('collapse', 1), ('tent', 1), ('correction', 1), ('story', 1)]"
7049,åè,"[('åèmgnafricaå¨', 1), ('httptcofdjuyvzmrv', 1), ('wizkidayocollapse', 1), ('collapse', 1), ('tent', 1), ('pinf', 1), ('correction', 1), ('story', 1)]"
2610,httptcovbswhzsvavalanche,"[('\x89û÷avalanche\x89ûª', 1), ('covers', 1), ('musician', 1), ('mattson', 1), ('album', 1), ('clever', 1), ('classic', 1), ('recreates', 1), ('kalle', 1), ('video', 1), ('music', 1)]"
1263,army,"[('\x89û÷alloosh', 1), ('grinds', 1), ('gang', 1), ('damascus', 1), ('syrian', 1), ('pilehttptcorakhpbwmannihilated', 1), ('manure', 1), ('annihilated', 1), ('beyonce', 8), ('httptcoofcyyr', 4), ('fan', 18), ('httptconnmqlzo', 4), ('beyhive', 8), ('pick', 18), ('directioners', 8), ('direction', 6), ('httptcoencmhzy', 6), ('one', 8), ('xarmy', 6), ('httptcoqeblokeve', 6), ('summer', 2), ('httptcojwseptxga', 1), ('seconds', 2), ('httptcoqwgiwcwzarmy', 1), ('sosfam', 1), ('httptcothoyhrhkfj', 4), ('httptcowvjabgmarmy', 4), ('slightly', 1), ('got', 1), ('thing', 1), ('fararmy', 1), ('first', 1), ('intrigued', 1), ('seeing', 1), ('whitewalkers', 1), ('kingdom', 1), ('httptcozzcewewarmy', 1), ('g', 1), ('build', 2), ('lzktjnox', 1), ('lead', 1), ('httpsyoutustart', 1), ('friend', 1), ('victory', 1), ('code', 1), ('school', 1), ('children', 1), ('hosting', 1), ('salvation', 1), ('rally\x89û', 1), ('fathers', 1), ('hosts', 1), ('httptcordjporazgarmy', 1), ('rally', 1), ('back', 2), ('reconnect', 1), ('like', 1), ('leader', 1), ('dogs', 1), ('fight', 1), ('lion', 1), ('lionarmy', 1), ('mens', 1), ('httptcoebvglmraarmy', 1), ('watch', 5), ('analog', 1), ('httptcohepkxghb', 1), ('rea\x89û', 1), ('dial', 1), ('blue', 1), ('fabric', 1), ('quartz', 1), ('full', 4), ('infantry', 1), ('nylon', 1), ('lume', 1), ('wrist', 1), ('sport', 1), ('victorinox', 1), ('httptcoknehvvohvkarmy', 1), ('date', 1), ('rubber', 1), ('mop', 1), ('httptcoyfynkkcoh', 1), ('swiss', 1), ('womens', 1), ('drayesha', 1), ('rt', 1), ('ki\x89û', 1), ('indiakomuntorjawabdoindian', 1), ('httptcowjljqyagarmy', 1), ('sosfam', 1), ('httptcogcudfnfgg', 1), ('httptcoqchvjqovk', 1), ('ìñarmy', 1), ('httptcoywvqkgbbi', 1), ('httptcosffcomparmy', 1), ('direction', 2), ('jackson', 1), ('stony', 1), ('thus', 1), ('last', 1), ('httptcowbecdmhqoarmy', 1), ('leads', 1), ('rejects', 1), ('hope', 1), ('satan', 1), ('felons', 1), ('americas', 1), ('ww', 3), ('japanese', 3), ('war', 3), ('read', 3), ('japan', 3), ('wwii', 3), ('ebay', 3), ('mido', 3), ('wwi', 3), ('leather', 3), ('httptcofjlyjl', 1), ('navy', 3), ('httptcomwwwowcayoarmy', 1), ('military', 3), ('help', 1), ('country', 1), ('violent', 1), ('poor', 1), ('ap', 1), ('control', 1), ('get', 1), ('killings', 1), ('peace', 1), ('peoplearmy', 1), ('involved', 1), ('bring', 1), ('httptcoktkgsdhhlarmy', 1), ('httptcoqumcewty', 1), ('httptcoobfdeqcp', 1), ('httptcoyazjeowvkarmy', 1), ('httptcoftzjkdtarmy', 1), ('httptcoimhfdaowrd', 1), ('saw', 1), ('tv', 1), ('attacked', 1), ('gun', 1), ('digging', 1), ('plane', 1), ('itattacked', 1), ('student', 1), ('fukushima', 1), ('program', 1), ('said', 1), ('us', 1), ('uranium', 1), ('machine', 1), ('flew', 1), ('mine', 1), ('air', 1), ('energy', 1), ('cdc', 1), ('oversight', 1), ('labs', 1), ('mishaps', 1), ('hearing', 1), ('anthrax', 1), ('house', 1), ('hold', 1), ('htt\x89ûbioterror', 1), ('subcommittee', 1), ('bioterror', 1), ('commerce', 1), ('amp;amp;', 1), ('mansehracrashed', 1), ('crashed', 4), ('helicopter', 4), ('pak', 1), ('says', 2), ('httptcoqvrmzijcrashed', 1), ('pakistan', 1), ('countrys', 2), ('restive', 2), ('northwest', 2), ('killing', 1), ('least', 1), ('mansehra', 1), ('weather', 1), ('seems', 1), ('say', 1), ('team', 1), ('sources', 1), ('including', 1), ('die', 1), ('near', 1), ('doctors', 1), ('cause', 1), ('crashcrashed', 1), ('board', 1), ('persons', 1), ('fox', 1), ('mhtwfnetpakistan', 1), ('newscrashed', 1), ('fd', 1)]"
1266,manure,"[('\x89û÷alloosh', 1), ('grinds', 1), ('gang', 1), ('damascus', 1), ('army', 1), ('syrian', 1), ('pilehttptcorakhpbwmannihilated', 1), ('annihilated', 1)]"
1265,pilehttptcorakhpbwmannihilated,"[('\x89û÷alloosh', 1), ('grinds', 1), ('gang', 1), ('damascus', 1), ('army', 1), ('syrian', 1), ('manure', 1), ('annihilated', 1)]"
1264,syrian,"[('\x89û÷alloosh', 1), ('grinds', 1), ('gang', 1), ('damascus', 1), ('army', 1), ('pilehttptcorakhpbwmannihilated', 1), ('manure', 1), ('annihilated', 1)]"
1262,damascus,"[('\x89û÷alloosh', 1), ('grinds', 1), ('gang', 1), ('army', 1), ('syrian', 1), ('pilehttptcorakhpbwmannihilated', 1), ('manure', 1), ('annihilated', 1)]"
1261,gang,"[('\x89û÷alloosh', 1), ('grinds', 1), ('damascus', 1), ('army', 1), ('syrian', 1), ('pilehttptcorakhpbwmannihilated', 1), ('manure', 1), ('annihilated', 1)]"
1260,grinds,"[('\x89û÷alloosh', 1), ('gang', 1), ('damascus', 1), ('army', 1), ('syrian', 1), ('pilehttptcorakhpbwmannihilated', 1), ('manure', 1), ('annihilated', 1)]"
7258,httptcoegjmvrvicollide,"[('\x89ûó', 1), ('take', 1), ('collide', 1), ('stars', 1), ('moon', 1), ('even', 1), ('oh', 1), ('life', 1), ('want', 1), ('back', 1), ('never', 1), ('words', 1)]"
7155,costû,"[('\x89ûó', 1), ('greek', 1), ('fools', 1), ('httptcogbrnulpfhcollapsed', 1), ('collapsed', 1), ('people', 1), ('wallybaiter', 1), ('hasnt', 1), ('played', 1), ('still', 1), ('tsipras', 1)]"
7342,iilanjut,"[('\x89ûó', 1), ('collided', 1), ('rumah', 1), ('jake', 1), ('part', 1), ('cipinang', 1), ('hate', 1), ('love', 1), ('dirumahyagitudeh', 1), ('httpstcoyiltbbkcollided', 1)]"
1150,country,"[('\x89ûó', 1), ('britain', 1), ('entirely', 1), ('httpstcoirfcnszvannihilated', 1), ('annihilated', 1), ('boom', 1), ('h\x89û', 1), ('help', 1), ('violent', 1), ('poor', 1), ('army', 1), ('ap', 1), ('control', 1), ('get', 1), ('killings', 1), ('back', 1), ('peace', 1), ('peoplearmy', 1), ('involved', 1), ('bring', 1), ('dropped', 1), ('banthebombhttptcogywwsqjbombing', 1), ('ground', 1), ('atomic', 1), ('high', 1), ('claiming', 1), ('one', 1), ('bombs', 1), ('moral', 1), ('hiroshima', 1), ('zimbabwe', 1), ('government', 1), ('linecollapsed', 1), ('live', 1), ('collapsed', 1), ('many', 1), ('ruled', 1), ('poverty', 1), ('dictator', 1)]"
724,thinking,"[('\x89ûò', 1), ('die', 1), ('best', 1), ('jobsaftershock', 1), ('lose', 1), ('know', 1), ('way', 1), ('something', 1), ('steve', 1), ('trap', 1), ('going', 1), ('avoid', 1), ('remembering', 1), ('shit', 1), ('localarsonist', 1), ('say', 1), ('guess', 1), ('aboutarsonist', 1), ('u', 1), ('bowl', 1), ('got', 1), ('ive', 1), ('longblazing', 1), ('blazing', 1), ('damn', 1), ('feel', 1), ('broken', 1), ('sedar', 1), ('pun', 1), ('pain', 1), ('also', 1), ('bleeding', 1), ('keep', 1), ('shitbleeding', 1), ('stepped', 1), ('tak', 1), ('dont', 1), ('glass', 1), ('face', 1), ('im', 1), ('sorrow', 1), ('away', 1), ('shotcasualties', 1), ('first', 1), ('laughing', 1), ('casualties', 1), ('tomorrow', 1), ('past', 1), ('time', 1), ('throwin', 1)]"
3402,httptcocbddiqigblazing,"[('\x89ûò', 1), ('blazing', 1), ('traffic', 1), ('heat', 1), ('freezing', 1), ('hot', 1), ('cold', 1)]"
4920,locationbomb,"[('\x89ûïdylanmcclure', 1), ('httptcozwjpvk\x89û\x9d', 1), ('zumiez', 1), ('working', 1)]"
