,keys,values
344,ton,67144
101,ill,61432
0,son,23883
167,man,23544
25,ion,22116
140,tin,21450
324,land,20241
253,ran,12978
307,one,12272
67,ate,12152
127,tor,11500
19,res,10179
216,kin,10112
22,ted,9840
431,ell,9394
615,tan,8618
125,min,8514
430,ans,7521
109,ere,7096
148,day,7087
21,den,6859
1,art,6721
281,ant,6640
457,ind,6286
80,dis,6202
215,news,6165
16,est,5965
17,ire,5950
12,ore,5850
388,men,5808
367,era,5730
761,err,5726
13,fire,5632
531,hen,5194
143,amp,4980
487,lit,4795
161,age,4434
82,ash,4000
86,din,3876
220,king,3864
981,cal,3780
242,per,3575
111,enc,3535
264,mil,3289
181,way,3133
1815,bomb,3129
681,gin,3060
1216,storm,3050
243,ten,3006
328,eve,3000
124,com,2992
258,ins,2944
136,ave,2864
688,win,2862
112,erg,2832
819,lie,2820
285,wit,2816
123,hat,2808
162,car,2805
811,mes,2800
83,use,2779
312,urn,2754
546,red,2742
911,ass,2742
108,gen,2723
18,fir,2664
142,ting,2660
77,loo,2480
280,chi,2410
1295,tar,2344
972,col,2315
364,rat,2286
545,war,2250
654,pol,2240
156,arr,2205
155,mar,2198
218,new,2192
735,mas,2187
441,ens,2148
20,ice,2124
2083,pan,2112
4,ear,2100
138,eat,2091
81,nit,2056
537,port,1992
393,ling,1980
198,ham,1955
1780,ism,1896
87,ding,1836
356,ail,1809
495,tic,1808
188,end,1806
346,tie,1771
79,ado,1770
963,ugh,1765
78,ring,1757
376,mat,1743
199,ole,1704
24,side,1683
52,sen,1551
164,mag,1524
59,int,1520
244,town,1470
877,via,1422
2,org,1417
154,ago,1400
88,rain,1390
606,ester,1326
103,wood,1302
53,fro,1290
28,ace,1284
254,hes,1266
228,hey,1260
445,cat,1254
267,time,1218
313,burn,1212
295,low,1196
964,let,1183
597,con,1179
363,ford,1175
116,app,1168
470,gar,1166
413,sun,1148
903,bin,1134
2048,bag,1090
231,sea,1078
454,pro,1052
550,pin,1001
617,alt,996
548,lee,992
941,mic,988
471,lay,984
607,back,945
201,ale,940
391,lat,938
105,see,925
343,field,918
223,phi,910
671,air,903
456,thin,900
753,act,900
91,rad,894
323,sin,860
569,shed,852
45,rec,850
978,hon,850
485,til,840
151,rid,836
585,bee,832
916,ban,830
909,inc,825
10,rest,824
57,hot,824
115,pen,820
922,ones,819
217,set,798
7,qua,798
701,emo,792
1253,lam,792
327,hem,792
300,owe,790
195,like,788
1110,burg,784
1296,net,783
2042,rag,780
2088,mass,772
847,tho,768
303,tat,766
1384,star,760
1907,rail,759
309,bur,752
1429,inn,747
294,row,740
834,ink,736
947,run,728
960,val,724
287,wan,716
600,med,714
60,sch,711
1049,dam,705
65,ions,704
942,anti,704
774,real,700
334,ever,696
230,sit,695
657,kill,688
46,people,676
790,ego,675
845,say,675
1842,tine,668
2072,arc,665
332,sing,656
141,ode,651
2173,sir,650
1722,rant,645
1666,ken,639
1337,lid,636
160,mage,633
2280,mad,630
165,bus,630
612,ctr,620
1401,cot,616
683,tag,615
3329,buildings,606
1151,rel,604
1058,par,603
881,error,602
3344,burning,597
2337,jack,594
276,life,594
1220,vie,590
390,ram,590
401,city,583
1050,wind,582
137,die,580
92,aster,578
102,top,575
1340,less,552
1782,terror,544
858,play,540
923,bat,540
389,van,536
1030,bridge,532
444,would,532
519,sol,531
800,blood,528
1375,fee,528
1396,arm,524
924,eel,516
475,lands,510
411,line,508
1079,world,505
319,lea,505
1597,fat,504
260,live,500
4560,damage,495
2287,non,495
1783,terrorism,488
352,rig,484
719,bod,482
3331,rescue,480
2021,big,480
653,police,472
899,gov,470
1565,lap,470
931,boy,460
726,mos,452
436,video,452
1348,long,450
642,today,450
277,gel,445
1541,sink,444
321,year,441
810,times,441
499,accident,438
113,emergency,438
1260,pic,438
93,flood,434
483,make,430
85,disaster,428
620,lot,428
721,body,426
715,rem,426
628,plan,422
2543,lite,420
182,shit,420
168,love,416
918,gal,416
270,care,415
61,got,405
2499,fer,404
996,sis,400
246,ridge,400
434,well,400
2925,panic,396
