iter	Passed	Remaining
0	5	5355
1	10	5256
2	15	5264
3	32	8182
4	38	7587
5	44	7338
6	50	7166
7	56	7052
8	63	6990
9	69	6839
10	75	6756
11	81	6669
12	86	6564
13	92	6482
14	97	6416
15	107	6633
16	113	6578
17	119	6515
18	125	6473
19	130	6409
20	137	6393
21	143	6368
22	148	6316
23	154	6286
24	160	6246
25	165	6213
26	171	6185
27	181	6289
28	186	6252
29	196	6345
30	212	6633
31	218	6607
32	223	6560
33	229	6523
34	234	6478
35	241	6455
36	247	6429
37	252	6396
38	272	6721
39	278	6691
40	284	6661
41	290	6617
42	295	6583
43	301	6559
44	307	6519
45	312	6488
46	319	6468
47	325	6449
48	331	6430
49	336	6398
50	342	6375
51	348	6353
52	355	6343
53	361	6330
54	376	6470
55	382	6446
56	388	6423
57	394	6401
58	399	6374
59	405	6350
60	411	6328
61	416	6305
62	422	6285
63	428	6266
64	434	6245
65	451	6383
66	456	6360
67	462	6342
68	468	6319
69	474	6299
70	479	6275
71	485	6253
72	490	6234
73	496	6218
74	503	6204
75	509	6192
76	515	6177
77	521	6162
78	527	6145
79	533	6133
80	540	6129
81	546	6112
82	551	6097
83	557	6080
84	563	6066
85	569	6049
86	575	6039
87	581	6025
88	587	6009
89	592	5993
90	598	5982
91	604	5966
92	610	5955
93	616	5941
94	622	5928
95	627	5913
96	633	5897
97	639	5886
98	645	5871
99	651	5860
100	657	5849
101	662	5835
102	668	5821
103	673	5806
104	685	5841
105	690	5826
106	696	5816
107	703	5808
108	711	5816
109	717	5807
110	724	5799
111	730	5789
112	736	5778
113	742	5773
114	749	5765
115	755	5758
116	761	5749
117	768	5741
118	773	5729
119	780	5721
120	786	5710
121	791	5696
122	797	5686
123	803	5677
124	809	5666
125	815	5656
126	821	5649
127	828	5641
128	834	5636
129	840	5625
130	847	5625
131	854	5617
132	861	5613
133	867	5605
134	873	5599
135	890	5655
136	896	5644
137	901	5634
138	908	5625
139	914	5615
140	920	5605
141	925	5594
142	931	5583
143	937	5573
144	943	5564
145	949	5556
146	955	5544
147	961	5535
148	967	5526
149	973	5514
150	978	5504
151	993	5544
152	999	5533
153	1005	5522
154	1011	5511
155	1016	5501
156	1022	5491
157	1028	5483
158	1034	5471
159	1040	5461
160	1046	5451
161	1062	5496
162	1068	5486
163	1074	5477
164	1080	5467
165	1086	5456
166	1092	5447
167	1098	5439
168	1104	5428
169	1110	5421
170	1116	5412
171	1122	5401
172	1127	5392
173	1133	5383
174	1142	5386
175	1148	5375
176	1154	5366
177	1160	5357
