id,hasNum,hasLink,hasUser,hasHashtag,exclamacion,interrogacion,mayusculas,longitud,negativity_x,sigmoidic_negativity,neg_to_label,continent_cat_codes,continent_Africa,continent_Asia,continent_Europe,continent_EuropeEurope,continent_North America,continent_Oceania,continent_Other,continent_South America,country_cat_codes,country_Argentina,country_Australia,country_Canada,country_England,country_India,country_Nigeria,country_Other,country_Turkey,country_United Kingdom,country_United States,city_cat_codes,city_California,city_Chicago,city_Florida,city_London,city_Los Angeles,city_New York,city_Of,city_Other,city_Texas,city_Washington,prediccion_T5,len,word_count,unique_word_count,url_count,mean_word_length,hashtag_count,mention_count,key_bit0,key_bit1,key_bit2,key_bit3,key_bit4,key_bit5,key_bit6,key_bit7,2-gram-1,3-gram-1,2-gram-0,3-gram-0,sentimiento,negativity_y,Tiene_earthquake,Tiene_forest,Tiene_fire,Tiene_wildfires,Tiene_flooding,Tiene_emergency,Tiene_afraid,Tiene_tornado,Tiene_died,Tiene_flooded,Tiene_flood,Tiene_crash,Tiene_ablaze,Tiene_burned,Tiene_vandalized,Tiene_accidentwho,Tiene_horrible,Tiene_truckcrash,Tiene_dies,Tiene_injury,Tiene_explosion,Tiene_die,Tiene_ambulance,Tiene_ambulances,Tiene_annihilated,Tiene_annihilate,Tiene_annihilation,Tiene_annihilating,Tiene_dieplease,Tiene_apocalypse,Tiene_survive,Tiene_armageddon,Tiene_warning,Tiene_salvation,Tiene_attack,Tiene_struggling,Tiene_burglary,Tiene_death,Tiene_arson,Tiene_hospital,Tiene_arsonist ,Tiene_bombing,Tiene_horrific,Tiene_terrorist,Tiene_injured,Tiene_assailant,Tiene_rape,Tiene_condemn,Tiene_bombs,Tiene_gunfight,Tiene_attacked,Tiene_imprisoning,Tiene_avalanche,Tiene_war,Tiene_battle,Tiene_fight,Tiene_destroyed,Tiene_bioterror,Tiene_wbioterrorismampuse,Tiene_bioterrorism,Tiene_disaster,Tiene_anthrax,Tiene_blaze,Tiene_blazing,Tiene_bleeding,Tiene_fireball,Tiene_tragedy,Tiene_blood,Tiene_bloody,Tiene_panics,Tiene_nuclear,Tiene_bagging,Tiene_bodybagging,Tiene_bags,Tiene_bomb,Tiene_gunman,Tiene_invadedbombed,Tiene_invaded,Tiene_bombed,Tiene_crime,Tiene_bellybombed,Tiene_storm,Tiene_hurricane,Tiene_collapse,Tiene_urgent,Tiene_kills,Tiene_screaming,Tiene_fireman,Tiene_burning,Tiene_wildfire,Tiene_explosions,Tiene_grenades,Tiene_damages,Tiene_arrested,Tiene_damaging,Tiene_destroys,Tiene_victim,Tiene_victims,Tiene_fires,Tiene_funeral,Tiene_flames,Tiene_killing,Tiene_destruction,Tiene_evacuations,Tiene_evacuation,Tiene_brutality,Tiene_warfighting,Tiene_casualties,Tiene_shooting,Tiene_dead,Tiene_casualty,Tiene_derailment,Tiene_propertycasualty,Tiene_critically,Tiene_casualtygray,Tiene_multicasualty,Tiene_catastrophe,Tiene_catastrophic,Tiene_bombings,Tiene_invading,Tiene_destructive,Tiene_volcanic,Tiene_debris,Tiene_radioactive,Tiene_incident,Tiene_collapsed,Tiene_spill,Tiene_kidnap,Tiene_cliff,Tiene_collapses,Tiene_killed,Tiene_fall,Tiene_landslide,Tiene_terrifying,Tiene_blowout,Tiene_crisis,Tiene_collide,Tiene_collided,Tiene_emerg,Tiene_accident,Tiene_shotgun,Tiene_lifethreatening,Tiene_firing ,Tiene_crashing ,Tiene_collision,Tiene_collisionno,Tiene_collisionunkn,Tiene_injuries,Tiene_burn,Tiene_fatal,Tiene_crush,Tiene_crushed,Tiene_attacks,Tiene_curfew,Tiene_cyclone,Tiene_typhoon,Tiene_devastates,Tiene_crushes,Tiene_damage,Tiene_thunderstorm,Tiene_thunderstorms,Tiene_danger,Tiene_dehydration,Tiene_crashes,Tiene_stealing,Tiene_crashed,Tiene_critical,Tiene_shouting,Tiene_disease,Tiene_wreck,Tiene_gun,Tiene_illness,Tiene_epidemic,Tiene_deaths,Tiene_climate,Tiene_plague,Tiene_disappearance,Tiene_missing,Tiene_floods,Tiene_delug,contains_keyword,Tiene_key_impor,Tiene_key_no_impor
0,0,0,0,0,0,0,1,36,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0.12142857142857146,6,6,0,4.833333333333333,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.006871766789159402,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,1,66,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0.22857142857142854,9,9,0,6.222222222222222,1,0,0,0,0,0,0,0,0,0,9,1,4,0,0,0.005500454333156804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,98,1,8.009919121619281e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0.3428571428571429,19,19,0,4.105263157894736,0,0,0,0,0,0,0,0,0,0,16,0,5,0,1,0.04164086894204325,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,2,42,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0.14285714285714285,4,4,0,9.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00044741164771564657,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,4,47,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0.16071428571428573,8,8,0,4.75,0,0,0,0,0,0,0,0,0,0,39,0,1,0,1,0.016471273501568597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,2,36,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0.12142857142857146,4,4,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003204175692853616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,2,4,74,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0.2571428571428571,12,12,0,5.083333333333333,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.007841991646599886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,1,1,2,19,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0.060714285714285714,4,4,0,3.5,0,0,0,0,0,0,0,0,0,0,6,1,29,2,0,0.0012014268469556033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,1,18,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0.057142857142857134,4,4,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014932846867840171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,1,0,1,11,0,2.9466847194873094e-08,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0.03214285714285714,2,2,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0003660418725454172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
